TV_ALL,COUNTY,TOWN,X,Y,lng,lat
連江縣南竿鄉,連江縣,南竿鄉,143437,2894199,119.93559,25.996083
連江縣北竿鄉,連江縣,北竿鄉,148898,2901401,119.99013,25.996474
連江縣莒光鄉,連江縣,莒光鄉,145527,2873504,119.956706,25.968771
連江縣東引鄉,連江縣,東引鄉,199126,2917589,120.491815,25.999107
金門縣金城鎮,金門縣,金城鎮,-22526,2703390,118.313402,24.412864
金門縣金沙鎮,金門縣,金沙鎮,-11510,2711525,118.420417,24.488129
金門縣金湖鎮,金門縣,金湖鎮,-11946,2706557,118.417035,24.443245
金門縣金寧鄉,金門縣,金寧鄉,-20945,2708268,118.328047,24.457136
金門縣烈嶼鄉,金門縣,烈嶼鄉,-30270,2705412,118.236732,24.429726
宜蘭縣宜蘭市,宜蘭縣,宜蘭市,326526,2738336,121.756597,24.750333
宜蘭縣羅東鎮,宜蘭縣,羅東鎮,327946,2730432,121.770196,24.678905
宜蘭縣蘇澳鎮,宜蘭縣,蘇澳鎮,334605,2716768,121.835169,24.555196
宜蘭縣礁溪鄉,宜蘭縣,礁溪鄉,324270,2745108,121.734654,24.811581
宜蘭縣壯圍鄉,宜蘭縣,壯圍鄉,331085,2738553,121.80168,24.752058
宜蘭縣員山鄉,宜蘭縣,員山鄉,316888,2737370,121.661267,24.742062
宜蘭縣冬山鄉,宜蘭縣,冬山鄉,326976,2726353,121.760389,24.642128
宜蘭縣五結鄉,宜蘭縣,五結鄉,331565,2731577,121.80602,24.689054
宜蘭縣三星鄉,宜蘭縣,三星鄉,317235,2729144,121.664303,24.667782
宜蘭縣大同鄉,宜蘭縣,大同鄉,302191,2715541,121.515166,24.545551
宜蘭縣南澳鄉,宜蘭縣,南澳鄉,317405,2704047,121.664787,24.441191
桃園市桃園區,桃園市,桃園區,280244,2765867,121.299624,25.000506
桃園市中壢區,桃園市,中壢區,271666,2763579,121.214607,24.979996
桃園市大溪區,桃園市,大溪區,279944,2751190,121.296335,24.868003
桃園市楊梅區,桃園市,楊梅區,263047,2756730,121.129169,24.918259
桃園市蘆竹區,桃園市,蘆竹區,278555,2772525,121.283029,25.060648
桃園市大園區,桃園市,大園區,271365,2772876,121.21177,25.063936
桃園市龜山區,桃園市,龜山區,286022,2768511,121.356934,25.02425
桃園市八德區,桃園市,八德區,279417,2760239,121.291311,24.949711
桃園市龍潭區,桃園市,龍潭區,271405,2749263,121.211801,24.850748
